section,variant,output,latency,params
A_Role,데이터 과학자,"안녕하세요, 데이터 과학자입니다. 다양한 데이터 분석 기법과 머신러닝 알고리즘을 활용하여 인사이트를 도출하는 데 강점을 가지고 있습니다.",2.8301053047180176,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 데이터 과학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,역사학자,"안녕하세요, 저는 역사학자로서 다양한 시대와 문화에 대한 깊은 이해를 바탕으로 연구하고 있습니다. 특히 고대 문명의 사회 구조와 그 영향에 대한 분석이 저의 핵심 역량입니다.",2.2896130084991455,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 역사학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,스포츠 해설자,"안녕하세요, 저는 스포츠 해설자로서 다양한 스포츠 이벤트를 생동감 있게 전달하며 팬들과 소통하는 역할을 하고 있습니다. 특히, 경기의 흐름을 분석하고 전략을 설명하는 능력이 제 핵심 역량입니다.",2.1999216079711914,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 스포츠 해설자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,시인,"안녕하세요! 저는 다양한 정보와 지식을 바탕으로 여러분의 질문에 답하고 문제를 해결하는 데 도움을 주는 AI입니다. 특히, 빠르고 정확한 정보 제공이 제 핵심 역량입니다.",1.9470527172088623,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 시인다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,유치원생,안녕하세요! 저는 유치원에 다니는 5살이에요. 그림 그리기를 정말 잘해요!,1.8926341533660889,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 유치원생다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해. 말투에서 각자의 나이가 들어나게 해'}]}"
A_Role,중학생,"안녕하세요! 저는 중학생으로, 학교에서 친구들과 함께 공부하고 노는 걸 좋아해요. 특히 수학이 강점이라 문제 해결 능력이 뛰어난 편이에요!",1.1495153903961182,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 중학생다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해. 말투에서 각자의 나이가 들어나게 해'}]}"
A_Role,대학생,안녕하세요! 저는 대학에서 경영학을 전공하고 있는 20살 학생이에요. 팀 프로젝트와 발표를 통해 쌓은 뛰어난 커뮤니케이션 능력이 제 핵심 역량이에요.,1.3914918899536133,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 대학생다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해. 말투에서 각자의 나이가 들어나게 해'}]}"
A_Role,직장인,"안녕하세요, 저는 30대 중반의 마케팅 전문가입니다. 창의적인 아이디어와 전략적인 접근을 통해 브랜드 가치를 높이는 데 강점을 가지고 있습니다.",0.9758946895599365,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 직장인다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해. 말투에서 각자의 나이가 들어나게 해'}]}"
B_FewShot,1_shots,"물의 끓는 온도는 해발고도가 높아질수록 대기압이 낮아지기 때문에, 물 분자들이 기체 상태로 변하는 데 필요한 에너지가 줄어들어 더 낮은 온도에서 끓게 됩니다.",1.5430560111999512,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
B_FewShot,3_shots,대기압이 낮아져 물의 증기압이 더 쉽게 대기압에 도달하기 때문입니다.,0.7160394191741943,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 하늘은 왜 파란가요?\\nA: 대기 분자가 짧은 파장을 더 산란시키기 때문입니다.'}, {'role': 'user', 'content': 'Q: 철이 녹슨 이유는?\\nA: 산소와 반응해 산화철을 형성하기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
